OPEN,CLOSE,HIGH,LOW,gap_pct,volatilidade_anterior,categoria_gap,probabilidade,volatilidade_ultima_hora,probabilidade_vol_ultimas1hEgap,volatilidade_ultimos_30min,probabilidade_vol_ultimas30minEgap,volatilidade_ultimos_15min,probabilidade_vol_ultimas15minEgap,volatilidade_ultimos_90min,probabilidade_vol_ultimas90minEgap,media_diaria,media_anterior,tempo_para_entrar_na_media_dia-1,tempo_para_atingir_o_maximo,tempo_para_atingir_o_minimo,faixa_gap,forca_abertura_10minutos,DIVERGENCIA_ABERTURA,ALVO_FECHOU_GAP_30MIN
128995,129900,130230,128755,0.3774025367675667,1.037037037037037,gap_positivo_medio,0.4236760124610592,0.0001706589996308,0.4722222222222222,0.0001729135049053,0.4722222222222222,0.0001867599732951,0.4722222222222222,0.0001746646986844,0.4722222222222222,129615.0093457944,128770.6214953271,10.0,372.0,110.0,Baixo Positivo,-0.3633973788997564,1.0,1.0
129915,129760,129930,128480,0.0115473441108545,1.1455865791619744,gap_quase_nulo,0.15264797507788164,0.0002402661912048,0.1388888888888889,0.00024166213574,0.1388888888888889,0.0002184829250309,0.1388888888888889,0.0002534140924405,0.1388888888888889,129103.38785046728,129615.0093457944,378.0,0.0,121.0,Neutro,0.0386383833700397,1.0,0.0
129760,129240,130645,128835,0.0,1.1285803237858032,gap_quase_nulo,0.15264797507788164,0.0002524907738079,0.1388888888888889,0.0002431849663319,0.1388888888888889,0.0002940996319589,0.1388888888888889,0.0002708733498884,0.1388888888888889,129676.92056074766,129103.38785046728,0.0,120.0,380.0,Neutro,0.154475940372287,1.0,1.0
129685,130125,130325,129500,0.3443206437635407,1.404897737416075,gap_positivo_medio,0.4236760124610592,0.0002032795565674,0.4722222222222222,0.0002100737587563,0.4722222222222222,0.0002176615650394,0.4722222222222222,0.0002122151677191,0.4722222222222222,129948.91121495327,129676.92056074766,23.0,65.0,196.0,Baixo Positivo,0.1037743100930125,0.0,0.0
130285,128145,130450,127235,0.1229586935638808,0.6370656370656371,gap_positivo_medio,0.4722222222222222,0.0004647788308277,0.4722222222222222,0.0003558764402783,0.4722222222222222,0.0004392384606981,0.4722222222222222,0.0004723317897725,0.4722222222222222,129063.5,129948.91121495327,,93.0,422.0,Baixo Positivo,0.0960356484326982,1.0,1.0
128045,128000,128765,126945,-0.0780365991650083,2.5268204503477816,gap_quase_nulo,0.12021857923497267,0.0001973407727248,0.1388888888888889,0.0001663743287202,0.1388888888888889,0.0001432823764498,0.1388888888888889,0.0002282879326018,0.1388888888888889,127795.7663551402,129063.5,4.0,95.0,10.0,Neutro,0.1993511316108353,0.0,1.0
127900,127775,128100,126765,-0.078125,1.4336917562724014,gap_quase_nulo,0.15264797507788164,0.0002249822032619,0.1388888888888889,0.0002488214432827,0.1388888888888889,0.0002756178646633,0.1388888888888889,0.0002428029051991,0.1388888888888889,127538.72429906542,127795.7663551402,0.0,72.0,143.0,Neutro,-0.0156390507096219,0.0,0.0
127400,126985,127835,126750,-0.2934846409704559,1.0531298071234172,gap_negativo_medio,0.3177570093457944,0.0002730614117171,0.3333333333333333,0.0002538108899214,0.3333333333333333,0.0002781882757306,0.3333333333333333,0.0002924353014519,0.3333333333333333,127319.8831775701,127538.72429906542,60.0,263.0,191.0,Baixo Negativo,-0.0196417347580138,0.0,0.0
127435,126080,127735,125485,0.3543725636886247,0.8560157790927022,gap_positivo_medio,0.4722222222222222,0.0002841723078259,0.4722222222222222,0.0002968069353636,0.4722222222222222,0.0003086990858621,0.4722222222222222,0.0003451137942557,0.4722222222222222,126327.6214953271,127319.8831775701,0.0,76.0,419.0,Baixo Positivo,0.0196163050727764,0.0,1.0
126300,128420,128430,126080,0.174492385786802,1.7930429931864365,gap_positivo_medio,0.4236760124610592,0.0001910083357845,0.4722222222222222,0.0001960394666519,0.4722222222222222,0.000244535715792,0.4722222222222222,0.0001832225526317,0.4722222222222222,127617.39719626168,126327.6214953271,79.0,531.0,30.0,Baixo Positivo,0.0747207802422526,0.0,0.0
128000,127700,128235,127015,-0.3270518610808285,1.8638959390862944,gap_negativo_medio,0.3177570093457944,0.0002569243869343,0.3333333333333333,0.0002202391188391,0.3333333333333333,0.000177383088854,0.3333333333333333,0.0002528483399915,0.3333333333333333,127604.80841121497,127617.39719626168,0.0,55.0,160.0,Baixo Negativo,-0.2380209146246293,0.0,0.0
127525,125360,127625,125300,-0.1370399373531715,0.9605164744321536,gap_negativo_medio,0.3333333333333333,0.0001983962190578,0.3333333333333333,0.0001973237280983,0.3333333333333333,0.0002554503099889,0.3333333333333333,0.0002295189563031,0.3333333333333333,126027.38785046728,127604.80841121497,0.0,0.0,533.0,Baixo Negativo,-0.1142722042714162,0.0,0.0
125980,127395,127745,125670,0.4945756222080408,1.8555466879489224,gap_positivo_medio,0.4236760124610592,0.0001718362733491,0.4722222222222222,0.0001544066457706,0.4722222222222222,0.0001632282716955,0.4722222222222222,0.0001987081527597,0.4722222222222222,126954.78037383176,126027.38785046728,,379.0,153.0,Baixo Positivo,0.1145113524185587,0.0,0.0
125680,125700,126440,124725,-1.3462066800109895,1.6511498368743536,gap_negativo_alto,0.056074766355140186,0.0003071593825642,0.0555555555555555,0.0002822362249661,0.0555555555555555,0.0002923956511864,0.0555555555555555,0.0003212368246144,0.0555555555555555,125667.68327067669,126954.78037383176,,304.0,140.0,Médio Negativo,0.1039501039501039,1.0,0.0
126550,128500,128500,126160,0.6762132060461415,1.3750250551212668,gap_positivo_medio,0.4236760124610592,0.0002588042272783,0.4722222222222222,0.0003381148358196,0.4722222222222222,0.000443224825357,0.4722222222222222,0.0002250676543081,0.4722222222222222,127535.08411214952,125667.68327067669,27.0,534.0,16.0,Médio Positivo,0.0829482166133428,0.0,0.0
