DATE,OPEN,CLOSE,HIGH,LOW,gap_pct,volatilidade_anterior,categoria_gap,probabilidade,volatilidade_ultima_hora,probabilidade_vol_ultimas1hEgap,volatilidade_ultimos_30min,probabilidade_vol_ultimas30minEgap,volatilidade_ultimos_15min,probabilidade_vol_ultimas15minEgap,volatilidade_ultimos_90min,probabilidade_vol_ultimas90minEgap,media_diaria
2020-12-10,113200,115350,115350,112625,0.18585715550048676,1.5428393579654083,gap_positivo_medio,0.4236760124610592,0.00038997619539750514,0.4722222222222222,0.00040974112107371603,0.4722222222222222,0.00047243012593221163,0.4722222222222222,0.0003869350388996664,0.4722222222222222,114315.30973451327
2020-12-11,114350,115180,115550,113915,-0.8669267446900737,2.4195338512763596,gap_negativo_alto,0.1092896174863388,0.0005131293144438934,0.05555555555555556,0.00041922193986916167,0.05555555555555556,0.0005116942292203273,0.05555555555555556,0.0004702008135221184,0.05555555555555556,114600.99557522124
2020-12-14,115665,114320,115950,114285,0.421080048619552,1.435280691743844,gap_positivo_medio,0.4236760124610592,0.0004546470768166433,0.4722222222222222,0.0004829828893243533,0.4722222222222222,0.0005651295933578747,0.4722222222222222,0.00046085910055603413,0.4722222222222222,115159.95559502664
2020-12-15,114900,116300,116390,114830,0.5073477956613016,1.4568841055256596,gap_positivo_medio,0.4236760124610592,0.00021792050399037572,0.4722222222222222,0.00022370023371391393,0.4722222222222222,0.0002785072694876436,0.4722222222222222,0.0002228727630044267,0.4722222222222222,115798.05309734514
2020-12-16,116590,117870,118340,115655,0.24935511607910577,1.3585300008708525,gap_positivo_medio,0.4236760124610592,0.00037536845765887217,0.4722222222222222,0.0003934731436725503,0.4722222222222222,0.0005078073923985026,0.4722222222222222,0.00038045243345545684,0.4722222222222222,116849.01769911505
2020-12-17,118075,118830,119290,117890,0.1739204208025791,2.3215598115083655,gap_positivo_medio,0.3060109289617486,0.00028307943078259334,0.4722222222222222,0.00026245516909077955,0.4722222222222222,0.00028692505865238947,0.4722222222222222,0.00032990170428233445,0.4722222222222222,118582.15486725664
2020-12-18,118115,118040,119645,117730,-0.6016999074307835,1.1875477139706505,gap_negativo_medio,0.3177570093457944,0.0005277007238683978,0.3333333333333333,0.0004312739547183453,0.3333333333333333,0.0003717625827306283,0.3333333333333333,0.0005400421511881913,0.3333333333333333,118692.57117437723
2020-12-21,115815,115900,117290,115085,-1.8849542527956624,1.6266032447124779,gap_negativo_alto,0.056074766355140186,0.0008585491606853941,0.05555555555555556,0.0005411889276541401,0.05555555555555556,0.00030813759967462863,0.05555555555555556,0.0007974487622072861,0.05555555555555556,116260.42259786477
2020-12-22,116300,117040,117135,115750,0.3451251078515962,1.9159751488030587,gap_positivo_medio,0.4236760124610592,0.00030206194893829335,0.4722222222222222,0.0003078153450929351,0.4722222222222222,0.00038851482612429914,0.4722222222222222,0.00030042901917829405,0.4722222222222222,116551.04867256636
2020-12-23,117305,117870,118560,117055,0.22641831852358166,1.1965442764578833,gap_positivo_medio,0.4236760124610592,0.0003781262368720998,0.4722222222222222,0.0003564599693251291,0.4722222222222222,0.000326542523222917,0.4722222222222222,0.0003368815889490296,0.4722222222222222,117896.47787610619
2020-12-28,118500,119550,119615,118330,0.5344871468567065,1.2857203878518644,gap_positivo_medio,0.4236760124610592,0.00017909624397074737,0.4722222222222222,0.0002039062751278443,0.4722222222222222,0.00024882659482522044,0.4722222222222222,0.0001632949584418122,0.4722222222222222,118949.76991150442
2020-12-29,119800,119580,120045,118870,0.20911752404851527,1.0859460829882532,gap_positivo_medio,0.4236760124610592,0.0002967867726484571,0.4722222222222222,0.00027073127188469956,0.4722222222222222,0.00031221135479590366,0.4722222222222222,0.0003260203536364801,0.4722222222222222,119501.52212389381
2020-12-30,119870,119175,120380,119005,0.2425154708145175,0.988474804408177,gap_positivo_medio,0.4722222222222222,0.0004488881056478899,0.4722222222222222,0.0005218170455712432,0.4722222222222222,0.00047143560629782946,0.4722222222222222,0.00042790013192319724,0.4722222222222222,119680.12831858407
2021-01-04,120270,118695,120585,118135,0.9188168659534299,1.1554136380824336,gap_positivo_alto,0.04984423676012461,0.0004013802930504895,0.0,0.0003814961186587523,0.0,0.0003300750439385466,0.0,0.00041488935166175727,0.0,119344.8185840708
2021-01-05,118990,119050,119965,116765,0.24853616411811785,2.0738985059465866,gap_positivo_medio,0.3060109289617486,0.00032592051049582676,0.4722222222222222,0.0003629520537910793,0.4722222222222222,0.00042795436682948555,0.4722222222222222,0.0003222614147617992,0.4722222222222222,118509.2389380531
2021-01-06,119220,119060,121075,118895,0.14279714405711885,2.7405472530295896,gap_positivo_medio,0.3060109289617486,0.0005128463807500729,0.4722222222222222,0.00042555609870544405,0.4722222222222222,0.00048189018539467857,0.4722222222222222,0.0005134309793422443,0.4722222222222222,120068.2831858407
2021-01-07,119560,123180,123480,119230,0.41995632454224757,1.833550611884436,gap_positivo_medio,0.4236760124610592,0.000471715027194913,0.4722222222222222,0.0005392291938970753,0.4722222222222222,0.0006917716057446365,0.4722222222222222,0.000416277200472529,0.4722222222222222,121198.23008849558
2021-01-08,123150,125365,125470,122365,-0.024354603019970774,3.564539126058878,gap_quase_nulo,0.058823529411764705,0.0004179729938003467,0.1388888888888889,0.0005061181066176302,0.1388888888888889,0.00041607552729731347,0.1388888888888889,0.00042944342355807815,0.1388888888888889,124040.5106571936
2021-01-11,124500,123500,124915,122460,-0.6899852430901767,2.5374902954276144,gap_negativo_medio,0.31693989071038253,0.0006829425384488355,0.3333333333333333,0.0005823120539532122,0.3333333333333333,0.00039909544539220253,0.3333333333333333,0.0006278497273542541,0.3333333333333333,123783.03097345133
