DATE,ALVO_FECHOU_GAP_30MIN,GAP_NA_FAIXA_IDEAL,DIVERGENCIA_ABERTURA,GAP_ALTA,GAP_PORCENTAGEM_norm,DIAS_DESDE_ULTIMO_GAP_norm,VOLATILIDADE_ANTERIOR_norm,FORCA_ABERTURA_10MIN_norm,TEND_Aumentando,TEND_Diminuindo,TEND_Estável
2021-03-18,0,0,0,0,0.4146,0.0714,0.6583,0.254,True,False,False
2021-03-19,0,0,1,1,0.5142,0.0714,0.4403,0.4633,False,True,False
2021-03-22,0,0,1,0,0.3659,0.0714,0.3368,0.5541,False,True,False
2021-03-23,0,0,0,0,0.3853,0.0714,0.3385,0.3807,False,False,True
2021-03-24,0,0,1,1,0.4828,0.0714,0.488,0.5418,True,False,False
2021-03-25,1,1,0,0,0.4484,0.0714,0.5946,0.524,True,False,False
2021-03-26,1,1,1,0,0.4406,0.0714,0.6067,0.6465,False,False,True
2021-03-29,1,0,1,0,0.3783,0.0714,0.4048,0.7331,False,True,False
2021-03-30,1,0,0,0,0.4114,0.0714,0.2975,0.5369,False,True,False
2021-03-31,1,1,0,0,0.4305,0.0714,0.4418,0.5151,True,False,False
2021-04-01,0,0,0,1,0.4842,0.0714,0.2536,0.5467,False,True,False
2021-04-05,0,0,0,1,0.5483,0.1429,0.3801,0.6735,True,False,False
2021-04-06,1,1,1,0,0.4454,0.0714,0.2822,0.5925,False,True,False
2021-04-07,1,1,0,0,0.4306,0.0714,0.1895,0.5443,False,True,False
2021-04-08,0,0,1,1,0.4799,0.0714,0.3202,0.5178,True,False,False
2021-04-09,0,0,0,0,0.388,0.0714,0.2818,0.3709,False,True,False
2021-04-12,1,1,0,1,0.4655,0.0714,0.2612,0.7316,False,False,True
2021-04-13,0,0,1,0,0.4241,0.0714,0.1879,0.5467,False,True,False
2021-04-14,0,0,0,1,0.4986,0.0714,0.281,0.7148,True,False,False
2021-04-15,0,0,0,1,0.4848,0.0714,0.3008,0.5841,False,False,True
2021-04-16,1,1,0,0,0.4333,0.0714,0.2282,0.5232,False,True,False
2021-04-19,1,1,1,1,0.456,0.0714,0.2115,0.4743,False,False,True
2021-04-20,1,0,1,0,0.4147,0.0714,0.2419,0.6988,True,False,False
2021-04-22,0,0,0,1,0.5072,0.1429,0.2565,0.6215,False,False,True
2021-04-23,0,0,1,1,0.5216,0.0714,0.3142,0.4926,True,False,False
2021-04-26,0,0,0,1,0.4974,0.0714,0.1728,0.577,False,True,False
2021-04-27,1,1,1,1,0.4525,0.0714,0.2726,0.4694,True,False,False
2021-04-28,0,0,0,1,0.4939,0.0714,0.3722,0.5773,True,False,False
2021-04-29,0,0,1,1,0.4742,0.0714,0.2409,0.4744,False,True,False
2021-04-30,0,0,0,0,0.3877,0.0714,0.3078,0.4448,True,False,False
2021-05-03,0,0,1,1,0.4883,0.0714,0.2345,0.4117,False,True,False
2021-05-04,1,1,1,0,0.4366,0.0714,0.262,0.6393,True,False,False
2021-05-05,0,0,1,1,0.5286,0.0714,0.3085,0.4321,True,False,False
2021-05-06,1,1,1,1,0.4622,0.0714,0.2761,0.3768,False,True,False
2021-05-07,0,0,1,1,0.5078,0.0714,0.1709,0.5114,False,True,False
2021-05-10,0,0,1,1,0.4969,0.0714,0.3159,0.512,True,False,False
2021-05-11,0,0,0,0,0.339,0.0714,0.1679,0.4388,False,True,False
2021-05-12,0,0,0,0,0.3659,0.0714,0.4531,0.3934,True,False,False
2021-05-13,0,0,1,1,0.4939,0.0714,0.4215,0.5254,False,True,False
2021-05-14,0,0,0,1,0.5462,0.0714,0.2906,0.6325,False,True,False
2021-05-17,1,0,1,0,0.402,0.0714,0.218,0.7891,False,True,False
2021-05-18,0,1,0,0,0.4409,0.0714,0.3097,0.5074,True,False,False
2021-05-19,0,0,1,0,0.3381,0.0714,0.1894,0.6164,False,True,False
2021-05-20,0,1,0,0,0.4413,0.0714,0.3057,0.5005,True,False,False
2021-05-21,1,1,1,0,0.4435,0.0714,0.1208,0.5558,False,True,False
2021-05-24,0,1,0,1,0.4696,0.0714,0.1848,0.5812,True,False,False
2021-05-25,0,1,0,1,0.4669,0.0714,0.2718,0.6035,True,False,False
2021-05-26,0,0,0,1,0.4846,0.0714,0.3382,0.6269,True,False,False
2021-05-27,1,1,0,1,0.455,0.0714,0.1578,0.5808,False,True,False
2021-05-28,1,1,1,1,0.4575,0.0714,0.1851,0.5375,True,False,False
2021-05-31,1,1,1,0,0.4423,0.0714,0.2535,0.6323,True,False,False
